created,text,retwc,hashtag,followers,friends,subjectivity,polarity
2021-10-09 03:47:31,b'BIG PHARMA CRIMINAL HISTORY \xf0\x9f\xa5\xb6\nPfizer 2.3billion fined for fraud...now we know its all abt our health \xf0\x9f\x98\x82\n1.@GlaxoBRK\xe2\x80\xa6 https://t.co/z8s1KxKAcG',0,None,16,162,0.325,-0.2
2021-10-09 03:46:20,"b'RT @BellRibeiroAddy: The AstraZeneca vaccine, praised by Boris Johnson in his speech, was 97% publicly funded.\n\nWe got vaccines in under a\xe2\x80\xa6'",10945,None,317,100,0.06666666666666667,0.0
2021-10-09 03:46:09,b'RT @PissedOffMonkey: The people buying into this getting your life back to normal..\nTake the first shot available..\nAstraZeneca not recogni\xe2\x80\xa6',13,None,2002,4345,0.16666666666666666,0.125
2021-10-09 03:45:19,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,1154,914,0.325,0.19166666666666665
2021-10-09 03:44:57,"b'RT @SciNate: Just decided to bring my 2nd #AstraZeneca dose forward, and now I have a booking at a state hub within the hour. It really cou\xe2\x80\xa6'",61,AstraZeneca,15829,17429,0.1,0.1
2021-10-09 03:44:15,b'RT @theserhajm: Here are the vaccination sites for this Saturday and Sunday in the parish of St Catherine. Astrazeneca and Johnson &amp; Johnso\xe2\x80\xa6',11,None,90,83,0.0,0.0
2021-10-09 03:43:23,"b'RT @DrJohnB2: 48-year-old man \n- 13 days after receiving the 1st dose of the #CovidVaccine (AstraZeneca): haematuria (blood in the urine),\xe2\x80\xa6'",191,CovidVaccine,144,835,0.0,0.0
2021-10-09 03:43:20,"b'RT @BellRibeiroAddy: The AstraZeneca vaccine, praised by Boris Johnson in his speech, was 97% publicly funded.\n\nWe got vaccines in under a\xe2\x80\xa6'",10945,None,601,287,0.06666666666666667,0.0
2021-10-09 03:42:43,"b""Bro. This AstraZeneca is killing me. The fever is crazy. Apparently, you're not even supposed to treat it.""",0,None,1825,874,0.625,-0.27499999999999997
2021-10-09 03:42:19,"b'RT @SciNate: Just decided to bring my 2nd #AstraZeneca dose forward, and now I have a booking at a state hub within the hour. It really cou\xe2\x80\xa6'",61,AstraZeneca,594,1376,0.1,0.1
2021-10-09 03:41:37,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,1402,1087,0.325,0.19166666666666665
2021-10-09 03:41:26,"b'RT @calmecam: Canada quietly distributed 3/4 of a million doses of AstraZeneca to Trinidad and Tobago, St Vincent and the Grenadines, Jamai\xe2\x80\xa6'",287,None,422,578,0.3333333333333333,0.0
2021-10-09 03:41:07,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,4174,1302,0.325,0.19166666666666665
2021-10-09 03:40:59,"b'RT @SciNate: Just decided to bring my 2nd #AstraZeneca dose forward, and now I have a booking at a state hub within the hour. It really cou\xe2\x80\xa6'",61,AstraZeneca,193,934,0.1,0.1
2021-10-09 03:40:41,"b'RT @BellRibeiroAddy: The AstraZeneca vaccine, praised by Boris Johnson in his speech, was 97% publicly funded.\n\nWe got vaccines in under a\xe2\x80\xa6'",10945,None,222,614,0.06666666666666667,0.0
2021-10-09 03:40:41,"b'RT @calmecam: Canada quietly distributed 3/4 of a million doses of AstraZeneca to Trinidad and Tobago, St Vincent and the Grenadines, Jamai\xe2\x80\xa6'",287,None,2266,2185,0.3333333333333333,0.0
2021-10-09 03:40:34,"b'RT @SciNate: Just decided to bring my 2nd #AstraZeneca dose forward, and now I have a booking at a state hub within the hour. It really cou\xe2\x80\xa6'",61,AstraZeneca,22,195,0.1,0.1
2021-10-09 03:40:31,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,292,244,0.325,0.19166666666666665
2021-10-09 03:40:28,"b'RT @calmecam: Canada quietly distributed 3/4 of a million doses of AstraZeneca to Trinidad and Tobago, St Vincent and the Grenadines, Jamai\xe2\x80\xa6'",287,None,374,976,0.3333333333333333,0.0
2021-10-09 03:40:07,"b'RT @themohwgovjm: Vax sites will this weekend open across the island as the Ministry continues offering 1st, 2nd doses AstraZeneca &amp; the si\xe2\x80\xa6'",20,None,16690,18027,0.25,0.0
2021-10-09 03:39:31,b'RT @mattiecamp: 28 July: AstraZeneca mobile vans begin popping up in urban centres in inner SW Sydney https://t.co/CfcsM1yiD3',2,None,2454,4042,0.08333333333333333,0.0
2021-10-09 03:39:24,"b'22. Because Italy and others have banned the Astrazeneca shot for under-60s.\n\n23. Because the Netherlands, Denmark,\xe2\x80\xa6 https://t.co/msheQhwahD'",0,None,566,905,0.0,0.0
2021-10-09 03:38:54,b'RT @terrelonge2016: Astra Zeneca!! Astra Zeneca!! Astra Zeneca!! #AstraZeneca #AstraZeneca #AstraZeneca - say it loud! The best vaccine is\xe2\x80\xa6',16,AstraZeneca,826,476,0.55,0.5625
2021-10-09 03:38:46,b'RT @Petchary: Truly. I am heartily endorsing #AstraZeneca !! Go get it!!',1,AstraZeneca,826,476,0.0,0.0
2021-10-09 03:38:28,b'RT @mattiecamp: 28 July: AstraZeneca mobile vans begin popping up in urban centres in inner SW Sydney https://t.co/CfcsM1yiD3',2,None,2231,1291,0.08333333333333333,0.0
2021-10-09 03:38:15,b'RT @CBCNews: Canada donated over three-quarters of a million doses of its surplus AstraZeneca vaccines to the Caribbean and South American\xe2\x80\xa6',32,None,1473,1052,0.0,0.0
2021-10-09 03:38:03,b'Truly. I am heartily endorsing #AstraZeneca !! Go get it!! https://t.co/zS7UkcQcVZ',1,AstraZeneca,16690,18027,0.0,0.0
2021-10-09 03:37:21,"b'RT @CrazeeKanuck: Toronto lockdown czar\xe2\x80\x99s husband has \xe2\x80\x98financial ties\xe2\x80\x99 to Pfizer, AstraZeneca\nhttps://t.co/t5hSevIFDi'",25,None,240,807,0.0,0.0
2021-10-09 03:36:53,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,614,818,0.325,0.19166666666666665
2021-10-09 03:36:04,"b'RT @jasperward94: ""Trinidad and Tobago has donated 10,000 doses of AstraZeneca to The Bahamas, St Kitts and Nevis and Dominica. This was di\xe2\x80\xa6'",11,None,312,314,0.0,0.0
2021-10-09 03:35:56,"b'RT @steveusdin1: Oxford/AstraZeneca #COVID19 vaccine reduces symptomatic cases, not asymptomatic spread.\n@V2019N \nhttps://t.co/yUWxOktqBh h\xe2\x80\xa6'",19,COVID19,988,571,0.0,0.0
2021-10-09 03:35:54,b'28 July: AstraZeneca mobile vans begin popping up in urban centres in inner SW Sydney https://t.co/CfcsM1yiD3',2,None,697,330,0.08333333333333333,0.0
2021-10-09 03:35:41,"b'RT @BellRibeiroAddy: The AstraZeneca vaccine, praised by Boris Johnson in his speech, was 97% publicly funded.\n\nWe got vaccines in under a\xe2\x80\xa6'",10945,None,120,87,0.06666666666666667,0.0
2021-10-09 03:35:40,b'RT @CBCNews: Canada donated over three-quarters of a million doses of its surplus AstraZeneca vaccines to the Caribbean and South American\xe2\x80\xa6',32,None,13831,11771,0.0,0.0
2021-10-09 03:35:31,"b'RT @SciNate: Just decided to bring my 2nd #AstraZeneca dose forward, and now I have a booking at a state hub within the hour. It really cou\xe2\x80\xa6'",61,AstraZeneca,1029,1609,0.1,0.1
2021-10-09 03:35:00,"b'RT @themohwgovjm: Vax sites will this weekend open across the island as the Ministry continues offering 1st, 2nd doses AstraZeneca &amp; the si\xe2\x80\xa6'",20,None,54,849,0.25,0.0
2021-10-09 03:34:53,"b'RT @CrazeeKanuck: Toronto lockdown czar\xe2\x80\x99s husband has \xe2\x80\x98financial ties\xe2\x80\x99 to Pfizer, AstraZeneca\nhttps://t.co/t5hSevIFDi'",25,None,468,845,0.0,0.0
2021-10-09 03:34:49,"b'RT @BellRibeiroAddy: The AstraZeneca vaccine, praised by Boris Johnson in his speech, was 97% publicly funded.\n\nWe got vaccines in under a\xe2\x80\xa6'",10945,None,565,543,0.06666666666666667,0.0
2021-10-09 03:34:21,"b'RT @carlosstelmac: Canada has donated over 750,000 AstraZeneca vaccine doses internationally since late summer | CBC News https://t.co/wCk9\xe2\x80\xa6'",2,None,481,1032,0.3,-0.15
2021-10-09 03:33:38,"b'RT @SciNate: Just decided to bring my 2nd #AstraZeneca dose forward, and now I have a booking at a state hub within the hour. It really cou\xe2\x80\xa6'",61,AstraZeneca,952,2977,0.1,0.1
2021-10-09 03:33:20,"b""Luis: 0\nAstrazeneca's Side effects: 2""",0,None,187,120,0.0,0.0
2021-10-09 03:32:54,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,609,541,0.325,0.19166666666666665
2021-10-09 03:32:39,"b""@mujujunior1 @AstraZeneca This isn't in the vaccines. Reported for false information.""",0,None,4217,4540,0.6,-0.4000000000000001
2021-10-09 03:31:50,"b'RT @calmecam: Canada quietly distributed 3/4 of a million doses of AstraZeneca to Trinidad and Tobago, St Vincent and the Grenadines, Jamai\xe2\x80\xa6'",287,None,319,5003,0.3333333333333333,0.0
2021-10-09 03:31:10,"b'RT @DrJohnB2: 48-year-old man \n- 13 days after receiving the 1st dose of the #CovidVaccine (AstraZeneca): haematuria (blood in the urine),\xe2\x80\xa6'",191,CovidVaccine,1180,2347,0.0,0.0
2021-10-09 03:31:09,"b'RT @calmecam: Canada quietly distributed 3/4 of a million doses of AstraZeneca to Trinidad and Tobago, St Vincent and the Grenadines, Jamai\xe2\x80\xa6'",287,None,1271,1492,0.3333333333333333,0.0
2021-10-09 03:31:05,b'@mujujunior1 @AstraZeneca 2010? Why are you spamming the hashtag #BrianLaundrie?',0,BrianLaundrie,4217,4540,0.0,0.0
2021-10-09 03:30:37,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,895,1737,0.325,0.19166666666666665
2021-10-09 03:30:37,"b'RT @SciNate: Just decided to bring my 2nd #AstraZeneca dose forward, and now I have a booking at a state hub within the hour. It really cou\xe2\x80\xa6'",61,AstraZeneca,1251,1569,0.1,0.1
2021-10-09 03:30:30,"b""@Sallybucket259 @davidmweissman I'm in the AstraZeneca trial, two months behind you. I'm slated for a booster next month.""",0,None,58,378,0.35,-0.2
2021-10-09 03:29:10,b'RT @wcchen: U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines good to go.\nh\xe2\x80\xa6',16,None,16690,18027,0.325,0.19166666666666665
2021-10-09 03:29:09,"b""After waiting for 12 weeks, I'm finally fully vaxxed. Hoping that Astrazeneca will be nicer this time around. \xf0\x9f\x98\x84\xf0\x9f\x98\x84""",0,None,627,535,1.0,0.0
2021-10-09 03:28:06,b'U.S. will accept WHO-approved COVID-19 vaccines for international visitors. AstraZeneca and other non-US vaccines g\xe2\x80\xa6 https://t.co/zdsfifzYhi',16,None,17464,800,0.1875,-0.0625
2021-10-09 03:27:21,b'@davidmweissman Because an opportunity to participate in a research study of the AstraZeneca shot became available\xe2\x80\xa6 https://t.co/JNI8Jmo8gF',0,None,58,378,0.0,0.0
2021-10-09 03:27:13,"b'RT @themohwgovjm: Vax sites will this weekend open across the island as the Ministry continues offering 1st, 2nd doses AstraZeneca &amp; the si\xe2\x80\xa6'",20,None,160,718,0.25,0.0
2021-10-09 03:27:01,b'RT @illegalblonde98: I chose AstraZeneca because it sounds more like a psytrance festival',114,None,77,247,0.5,0.5
2021-10-09 03:26:43,"b'RT @themohwgovjm: Vax sites will this weekend open across the island as the Ministry continues offering 1st, 2nd doses AstraZeneca &amp; the si\xe2\x80\xa6'",20,None,826,476,0.25,0.0
